protocol,n_folds,metric,dataset_size,rmse_mean,rmse_std,property,model,polymer_architecture,source_label,quantity_reported,model_reported,polymer_type_reported,source_reported
legacy_full_dataset_5fold_cv,5,rmse,1800,3.7,0.39,Rg,polyBERT,homopolymer,MD,Radius of gyration,polyBERT,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,27802,1.23,0.037,Rg,polymer_chemprop,alternating,MD,Radius of gyration,PCP,Alternating Copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1800,2.83,0.43,Rg,polymer_chemprop,homopolymer,MD,Radius of gyration,PCP,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,9331,2.05,0.065,Rg,polymer_chemprop,random,MD,Radius of gyration,PCP,Random copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,27802,1.22,0.035,Rg,polymer_periodic_graph,alternating,MD,Radius of gyration,PPG,Alternating Copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1800,3.35,0.58,Rg,polymer_periodic_graph,homopolymer,MD,Radius of gyration,PPG,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,7367,39.7,1.5,Tg,RDKit_RF,homopolymer,Experiment,$T_g$ (PolyMetriX),RDKit,Homopolymer,Experiment
legacy_full_dataset_5fold_cv,5,rmse,7367,37.9,1.8,Tg,polyBERT,homopolymer,Experiment,$T_g$ (PolyMetriX),polyBERT,Homopolymer,Experiment
legacy_full_dataset_5fold_cv,5,rmse,7367,34.7,0.6,Tg,polymer_chemprop,homopolymer,Experiment,$T_g$ (PolyMetriX),PCP,Homopolymer,Experiment
legacy_full_dataset_5fold_cv,5,rmse,7367,36.7,0.8,Tg,polymer_periodic_graph,homopolymer,Experiment,$T_g$ (PolyMetriX),PPG,Homopolymer,Experiment
legacy_full_dataset_5fold_cv,5,rmse,27802,0.0258,0.0005,density,RDKit_RF,alternating,MD,Density,RDKit,Alternating Copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1800,0.0645,0.0123,density,RDKit_RF,homopolymer,MD,Density,RDKit,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,27802,0.0349,0.001,density,polyBERT,alternating,MD,Density,polyBERT,Alternating Copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1800,0.0757,0.0045,density,polyBERT,homopolymer,MD,Density,polyBERT,Homopolymer,MD
