experiment,dataset,quantity,polymer_type,model,train_size,split,rmse_mean,rmse_std,mae_mean,mae_std,mse_mean,n_folds,n_samples_mean
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,300,test,183.61811302224518,4.8439048101040285,129.18193649104134,3.9770451719824664,33739.07484365936,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,300,train,66.20793316895681,7.204880522887674,46.38550800928876,3.0577513480118523,4435.400717854138,5,300.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,300,val,186.40598133635808,6.202247703794722,131.19836902262875,2.9775448880038353,34785.6577545499,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,1000,test,139.98216275348017,3.6503148209694394,100.61142813672245,2.2126345804317005,19608.330687433994,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,1000,train,51.01185116225286,1.4792600511822303,36.521101722867726,1.2254513327632426,2604.3971692988625,5,1000.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,1000,val,141.10875726150772,3.7157613112220087,101.20404506262307,2.3647442722978154,19925.488258009085,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,3000,test,114.07727164675794,3.230190032405022,82.70812118561973,1.7930854994046725,13024.058034013653,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,3000,train,43.24661674551326,1.2018093043494515,31.128815037978292,0.5556208292408962,1871.7142055373286,5,3000.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,3000,val,115.77654195272062,3.932553009057463,83.38412841592569,1.8827451849882462,13419.672639699125,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,10000,test,99.87566734506618,1.6592303911557875,71.95489298804878,1.1784850828285054,9977.901973113254,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,10000,train,36.957042579981376,0.4482954649988559,26.805605751119792,0.30002922581516517,1366.0239650824954,5,10000.0
